"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"07609";"15/11/2020";"22:24:09";" 100,00";"1";"o";"55";"TELMA PLACIDO";"PSD - REPUBLICANOS / PTB / PSD / PT";"5333";"  46,00";"Não eleito";"prefeito";"2104552";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"25";"ALDY JUNIOR";"DEM - PSD / DEM";"965";"   2,37";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"17";"NETO PONTES";"PSL";"603";"   1,48";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"40";"HIGOR";"PSB - PDT / PT / PSB / PROS";"12070";"  29,59";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"23";"DR MAGNO";"CIDADANIA - PP / PV / PTB / MDB / CIDADANIA";"10214";"  25,04";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"35";"MARCIA GOMES";"PMB";"2";"   0,00";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"22";"BELEZINHA";"PL - PL / REPUBLICANOS / PATRIOTA / PC do B / AVANTE";"16846";"  41,29";"Eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07617";"15/11/2020";"22:02:52";" 100,00";"1";"o";"50";"PROFESSOR JÂNIO PJ";"PSOL";"96";"   0,24";"Não eleito";"prefeito";"2103208";"MA";"NE";2020-11-16 17:49:55
"426";"07625";"15/11/2020";"22:12:17";" 100,00";"1";"o";"22";"BAIANO DA SEMENTE";"PL - PL / PROS";"1437";"  30,02";"Não eleito";"prefeito";"2104628";"MA";"NE";2020-11-16 17:49:55
"426";"07625";"15/11/2020";"22:12:17";" 100,00";"1";"o";"65";"GRAÇA ROCHA";"PC do B";"1538";"  32,13";"Não eleito";"prefeito";"2104628";"MA";"NE";2020-11-16 17:49:55
"426";"07625";"15/11/2020";"22:12:17";" 100,00";"1";"o";"45";"ZEZÃO";"PSDB";"1812";"  37,85";"Eleito";"prefeito";"2104628";"MA";"NE";2020-11-16 17:49:55
"426";"07633";"15/11/2020";"21:58:36";" 100,00";"1";"o";"55";"DR ZÉ FRANCISCO";"PSD - PSDB / MDB / PODE / PSD / REPUBLICANOS / PL / PT / PV";"28331";"  52,80";"Eleito";"prefeito";"2103307";"MA";"NE";2020-11-16 17:49:55
